,x,y,color
167,-1.9233656,1.5921694,2
168,13.760318,-2.336531,4
169,-1.484471,3.3557892,2
170,-4.5369873,4.709957,6
171,-5.425643,4.2095695,6
172,-5.424164,4.047451,6
173,-4.693729,3.0150347,1
174,-4.2920246,4.683803,6
175,13.74499,-2.4848325,4
176,-4.851492,2.3573544,1
177,-5.57626,3.7321296,6
178,-4.4951324,3.6941803,1
179,13.831561,-2.424918,4
180,-5.6515956,4.3303847,6
181,-5.2915664,2.6334028,1
182,-1.182,2.3877995,2
183,-5.3143296,2.764058,1
184,13.68339,-2.443708,4
185,-4.1826887,4.6761446,6
186,-5.396659,4.0363793,6
187,13.717351,-2.5334394,4
188,-5.2331343,4.5996566,6
189,16.197008,1.8569008,3
190,15.552367,1.578961,7
191,16.136168,1.2078836,7
192,16.2603,2.1507103,3
193,1.1964592,-2.3338168,5
194,16.237072,0.87968427,7
195,1.0402294,-2.9494975,5
196,15.6982155,2.2995777,3
197,16.680021,2.0511074,3
198,16.314373,0.84142333,7
199,16.632572,2.0356166,3
200,1.1542352,-2.4838638,5
201,16.176634,2.0939841,3
202,1.1210889,-1.3836126,5
203,-2.210901,0.85279495,2
204,1.0935065,-2.6623573,5
205,15.164738,0.896488,7
206,15.93455,1.1301708,7
207,16.55417,1.5177227,7
208,15.444294,1.936391,3
209,15.830753,2.478855,3
210,1.0213145,-2.8631175,5
211,15.372312,2.4428816,3
212,14.845227,0.7843941,7
213,-2.141019,0.874519,2
214,16.165525,1.0316653,7
215,-5.3908486,3.1338265,1
216,-4.929372,4.6520734,6
217,-5.8393126,4.3236074,6
218,-0.9026831,1.9775809,2
219,-0.250034,1.0531743,0
220,16.411036,2.293368,3
221,16.04627,2.352143,3
222,16.4472,2.3914907,3
223,0.9874123,-3.0202985,2
224,0.9267683,-1.8951012,5
225,-3.54383,3.7064004,1
226,16.216381,2.1075118,3
227,15.793303,2.7216294,3
228,1.0244832,-2.6802127,5
229,14.618482,0.6489232,7
230,-0.6539785,-0.092715114,0
231,14.856126,0.79072696,7
232,-4.948497,2.599448,1
233,-1.3205589,3.3177166,2
234,-1.488084,1.9987533,2
235,1.0657271,-1.1239989,5
236,15.223267,1.6534317,7
237,16.034529,0.92882365,7
238,15.939242,1.1783364,7
239,16.407017,1.4454786,3
240,16.064814,2.7439845,3
241,16.373652,1.4287412,7
242,15.169752,0.6945088,7
243,16.497204,1.7875706,3
244,-4.9583993,4.3380346,6
245,-5.397493,2.866627,1
246,-4.8034863,4.739541,6
247,-4.9092216,4.3037405,6
248,-4.7806425,3.7036462,1
249,-5.290276,2.7757664,1
250,15.642424,0.8111458,7
251,-5.0073657,4.4894857,6
252,-0.24495366,0.098091625,0
253,-0.5425328,0.54804844,0
254,-4.327487,3.6764932,1
255,-4.7637134,4.590795,6
256,1.0661306,-1.079614,5
257,-4.5609,3.9899793,6
258,-4.350372,3.5772123,1
259,16.520376,2.0660644,3
260,-4.412194,3.7682767,1
261,-4.3420353,3.6993053,1
262,-4.3102636,3.6815557,1
263,-3.4146104,3.757118,1
264,14.941358,1.9913765,3
265,-2.7281947,3.2629638,2
266,-3.5450203,3.9036257,6
267,-3.9655135,2.8242474,1
268,-1.9233743,2.1090446,2
269,-0.5229126,0.2774076,0
270,-2.0839007,1.4668995,2
271,-2.8816059,3.2724087,2
272,-1.2818638,1.5159835,2
273,-1.9151689,3.35786,2
274,-1.9158124,3.3364692,2
275,-1.1173775,2.324838,2
276,-1.430321,2.3783817,2
277,-1.2636045,2.4339674,2
278,-3.1407702,3.6112351,6
279,-3.341252,3.5713353,1
280,-3.5886464,2.9695537,1
281,-2.5408509,1.6223462,2
282,-4.3698654,2.7330031,1
283,-1.4312296,1.6923722,2
284,-1.2545835,1.7680504,2
285,-1.3722198,1.6008554,2
286,14.649642,1.0649691,7
287,-0.321966,-0.078676425,0
288,-0.42820564,0.09781399,0
289,-0.49626535,0.14725329,0
290,0.2730596,-0.39448664,0
291,0.1909897,0.20826511,0
292,14.604942,0.600664,7
293,16.485546,1.9443189,3
294,-3.714309,2.6071978,1
295,0.09177532,0.18938847,0
296,0.22794834,-0.29556537,0
297,-1.1271957,2.07478,2
298,-0.38223603,0.43750033,0
299,-0.3299519,1.0908562,0
300,-0.2823735,0.28104925,0
301,-0.21008332,0.9320273,0
302,-0.80540574,1.5223559,2
303,-3.9436252,2.880823,1
304,-1.3811836,0.29185754,2
305,0.46692598,-0.17829514,0
306,15.525923,2.9901633,3
307,-5.2560444,2.6935523,1
308,-5.2489805,2.4845996,1
309,-3.1153426,2.2779727,2
310,-1.2865856,2.2365468,2
311,-0.2134996,-0.04258095,0
312,15.580051,2.4528735,3
313,-1.13819,2.2981248,2
314,-1.7180915,3.2156632,2
315,-4.719363,3.367421,1
316,-2.0626507,2.4755683,2
317,-1.2076967,1.6979043,2
318,-3.4003022,2.9662745,1
319,-4.011711,3.5939193,1
320,-3.727053,3.6200497,1
321,-1.4909352,2.7317016,2
322,-3.356807,3.7676082,1
323,0.40800312,-0.29049683,0
324,-1.295238,2.2344375,2
325,-2.859345,1.584717,2
326,0.89742064,-2.0171952,5
327,0.98629814,-2.3066335,5
328,-0.53028435,0.18106772,0
329,1.2789645,-2.0936105,5
330,1.2649612,-1.9910278,5
331,-2.7251546,1.3779584,2
332,0.9925345,-2.1732116,5
333,15.4855,2.9107003,3
334,0.87850785,-1.3365227,5
335,1.364829,-1.8193548,5
336,-2.2310634,0.91196704,2
337,1.3684174,-1.8074836,5
338,-0.41606918,0.32370633,0
339,-0.60173446,1.2459365,2
340,-1.5095123,0.47277203,2
341,-2.2905438,1.963156,2
342,-1.5456281,3.3522787,2
343,1.2761041,-2.3228521,5
344,1.3072557,-1.9488599,5
345,-0.50503445,0.39675218,0
346,-0.32982206,0.9863335,0
347,-1.9001042,3.58826,2
348,0.26246247,0.33034816,0
349,1.0152915,-1.9581971,5
350,16.355242,0.90140426,7
351,-5.272807,2.7688274,1
352,-5.8723006,4.178528,6
353,0.47992805,-1.4016267,0
354,-3.701122,2.8661518,1
355,-0.76965237,-0.034627106,0
356,-3.6162314,3.5750747,1
357,-0.2669959,0.14089216,0
358,-2.4335868,1.111087,2
359,-4.567046,4.171228,6
360,-1.7318957,1.0606886,2
361,-4.6741815,4.198,6
362,-3.8358629,2.7671595,1
